"","gene"
"RVBD_3146","nuoB"
"RVBD_3147","nuoC"
"RVBD_3148","nuoD"
"RVBD_3149","nuoE"
"RVBD_3150","nuoF"
"RVBD_3151","nuoG"
"RVBD_3152","nuoH"
"RVBD_3153","nuoI"
"RVBD_3154","nuoJ"
"RVBD_3155","nuoK"
"RVBD_3156","nuoL"
"RVBD_3157","nuoM"
"RVBD_3158","nuoN"
"RVBD_3159c","PPE53"
"RVBD_3160c","-"
"RVBD_3161c","-"
"RVBD_3162c","-"
"RVBD_3163c","-"
"RVBD_3164c","moxR3"
"RVBD_3165c","-"
"RVBD_3166c","-"
"RVBD_3167c","-"
"RVBD_3168","-"
"RVBD_3169","-"
"RVBD_3170","aofH"
"RVBD_3171c","hpx"
"RVBD_3172c","-"
"RVBD_3173c","-"
"RVBD_3174","-"
"RVBD_3175","-"
"RVBD_3176c","mesT"
"RVBD_3177","-"
"RVBD_3178","-"
"RVBD_3178A","?"
"RVBD_3179","-"
"RVBD_3180c","-"
"RVBD_3181c","-"
"RVBD_3182","-"
"RVBD_3183","-"
"RVBD_3184","-"
"RVBD_3185","-"
"RVBD_3186","-"
"RVBD_3187","-"
"RVBD_3188","-"
"RVBD_3189","-"
"RVBD_3190c","-"
"RVBD_3190A","-"
"RVBD_3190B","?"
"RVBD_3191c","-"
"RVBD_3192","-"
"RVBD_3192A","?"
"RVBD_3193c","-"
"RVBD_3194c","-"
"RVBD_3195","-"
"RVBD_3196","-"
"RVBD_3196A","-"
"RVBD_3197","-"
"RVBD_3197A","whiB7"
"RVBD_3198c","uvrD2"
"RVBD_3198A","-"
"RVBD_3199c","nudC"
"RVBD_3200c","-"
"RVBD_3201c","-"
"RVBD_3202c","-"
"RVBD_3202A","?"
"RVBD_3203","lipV"
"RVBD_3204","-"
"RVBD_3205c","-"
"RVBD_3206c","moeB1"
"RVBD_3207c","-"
"RVBD_3208","-"
"RVBD_3208A","TB9.4"
"RVBD_3209","-"
"RVBD_3210c","-"
"RVBD_3211","rhlE"
"RVBD_3212","-"
"RVBD_3213c","-"
"RVBD_3214","gpm2"
"RVBD_3215","entC"
"RVBD_3216","?"
"RVBD_3217c","-"
"RVBD_3217Ac","?"
"RVBD_3218","-"
"RVBD_3219","whiB1"
"RVBD_3220c","-"
"RVBD_3221c","TB7.3"
"RVBD_3221A","rshA"
"RVBD_3222c","-"
"RVBD_3223c","sigH"
"RVBD_3224","-"
"RVBD_3224A","-"
"RVBD_3224B","-"
"RVBD_3225c","-"
"RVBD_3226c","-"
"RVBD_3227","aroA"
"RVBD_3228","-"
"RVBD_3229c","desA3"
"RVBD_3230c","-"
"RVBD_3231c","-"
"RVBD_3232c","ppk2"
"RVBD_3233c","-"
"RVBD_3234c","tgs3"
"RVBD_3235","-"
"RVBD_3236c","-"
"RVBD_3237c","-"
"RVBD_3238c","-"
"RVBD_3239c","-"
"RVBD_3240c","secA1"
"RVBD_3241c","-"
"RVBD_3242c","-"
"RVBD_3243c","-"
"RVBD_3244c","lpqB"
"RVBD_3245c","mtrB"
"RVBD_3246c","mtrA"
"RVBD_3247c","tmk"
"RVBD_3248c","sahH"
"RVBD_3249c","-"
"RVBD_3250c","rubB"
"RVBD_3251c","rubA"
"RVBD_3252c","alkB"
"RVBD_3253c","-"
"RVBD_3254","-"
"RVBD_3255c","manA"
"RVBD_3256c","-"
"RVBD_3257c","pmmA"
"RVBD_3258c","-"
"RVBD_3259","-"
"RVBD_3260c","whiB2"
"RVBD_3261","fbiA"
"RVBD_3262","fbiB"
"RVBD_3262A","?"
"RVBD_3263","-"
"RVBD_3264c","manB"
"RVBD_3265c","wbbL1"
"RVBD_3266c","rmlD"
"RVBD_3267","-"
"RVBD_3268","-"
"RVBD_3269","-"
"RVBD_3270","ctpC"
"RVBD_3271c","-"
"RVBD_3272","-"
"RVBD_3273","-"
"RVBD_3274c","fadE25"
"RVBD_3275c","purE"
"RVBD_3276c","purK"
"RVBD_3277","-"
"RVBD_3278c","-"
"RVBD_3279c","birA"
"RVBD_3280","accD5"
"RVBD_3281","accE5"
"RVBD_3282","-"
"RVBD_3283","sseA"
"RVBD_3284","-"
"RVBD_3285","accA3"
"RVBD_3286c","sigF"
"RVBD_3287c","rsbW"
"RVBD_3288c","usfY"
"RVBD_3289c","-"
"RVBD_3290c","lat"
"RVBD_3291c","lrpA"
"RVBD_3292","-"
"RVBD_3293","pcd"
"RVBD_3294c","-"
"RVBD_3295","-"
"RVBD_3296","lhr"
"RVBD_3297","nei"
"RVBD_3298c","lpqC"
"RVBD_3299c","atsB"
"RVBD_3300c","-"
"RVBD_3301c","phoY1"
"RVBD_3302c","glpD2"
"RVBD_3303c","lpdA"
"RVBD_3304","-"
"RVBD_3305c","amiA1"
"RVBD_3306c","amiB1"
"RVBD_3307","deoD"
"RVBD_3308","pmmB"
"RVBD_3309c","upp"
"RVBD_3310","sapM"
"RVBD_3311","-"
"RVBD_3312c","-"
"RVBD_3312Xc","?"
"RVBD_3312A","-"
"RVBD_3313c","add"
"RVBD_3314c","deoA"
"RVBD_3315c","cdd"
"RVBD_3316","sdhC"
"RVBD_3317","sdhD"
"RVBD_3318","sdhA"
"RVBD_3319","sdhB"
"RVBD_3320c","vapC44"
"RVBD_3321c","vapB44"
"RVBD_3322c","-"
"RVBD_3323c","moaX"
"RVBD_3324c","moaC3"
"RVBD_3324A","?"
"RVBD_3325","-"
"RVBD_3326","-"
"RVBD_3327","-"
"RVBD_3328c","sigJ"
"RVBD_3329","-"
"RVBD_3330","dacB1"
"RVBD_3331","sugI"
"RVBD_3332","nagA"
"RVBD_3333c","-"
"RVBD_3333A","?"
"RVBD_3334","-"
"RVBD_3335c","-"
"RVBD_3336c","trpS"
"RVBD_3337","-"
"RVBD_3338","-"
"RVBD_3339c","icd1"
"RVBD_3339Ac","?"
"RVBD_3340","metC"
"RVBD_3341","metA"
"RVBD_3342","-"
"RVBD_3343c","PPE54"
"RVBD_3344c","PE_PGRS49"
"RVBD_3345c","PE_PGRS50"
"RVBD_3346c","-"
"RVBD_3347c","PPE55"
"RVBD_3347Ac","?"
"RVBD_3348","-"
"RVBD_3350c","PPE56"
"RVBD_3351c","-"
"RVBD_3352c","-"
"RVBD_3353c","-"
"RVBD_3354","-"
"RVBD_3355c","-"
"RVBD_3356c","folD"
"RVBD_3357","relJ"
"RVBD_3358","relK"
"RVBD_3359","-"
"RVBD_3360","-"
"RVBD_3361c","-"
"RVBD_3362c","-"
"RVBD_3363c","-"
"RVBD_3364c","-"
"RVBD_3365c","-"
"RVBD_3366","spoU"
"RVBD_3367","PE_PGRS51"
"RVBD_3368c","-"
"RVBD_3369","-"
"RVBD_3370c","dnaE2"
"RVBD_3371","-"
"RVBD_3372","otsB2"
"RVBD_3372A","?"
"RVBD_3373","echA18"
"RVBD_3374","echA18.1"
"RVBD_3375","amiD"
"RVBD_3376","-"
"RVBD_3377c","-"
"RVBD_3378c","-"
"RVBD_3379c","dxs2"
"RVBD_3379A","?"
"RVBD_3380c","-"
"RVBD_3381c","-"
"RVBD_3382c","lytB1"
"RVBD_3383c","idsB"
"RVBD_3384c","vapC46"
"RVBD_3385c","vapB46"
"RVBD_3386","-"
"RVBD_3387","-"
"RVBD_3388","PE_PGRS52"
"RVBD_3389c","htdY"
"RVBD_3390","lpqD"
"RVBD_3391","acrA1"
"RVBD_3392c","cmaA1"
"RVBD_3393","iunH"
"RVBD_3394c","-"
"RVBD_3395c","-"
"RVBD_3395A","-"
"RVBD_3396c","guaA"
"RVBD_3397c","phyA"
"RVBD_3398c","idsA1"
"RVBD_3399","-"
"RVBD_3400","-"
"RVBD_3401","-"
"RVBD_3401Ac","?"
"RVBD_3402c","-"
"RVBD_3403c","-"
"RVBD_3404c","-"
"RVBD_3405c","-"
"RVBD_3406","-"
"RVBD_3407","vapB47"
"RVBD_3408","vapC47"
"RVBD_3409c","choD"
"RVBD_3410c","guaB3"
"RVBD_3411c","guaB2"
"RVBD_3412","-"
"RVBD_3413c","-"
"RVBD_3414c","sigD"
"RVBD_3415c","-"
"RVBD_3416","whiB3"
"RVBD_3417c","groEL1"
"RVBD_3418c","groES"
"RVBD_3419c","gcp"
"RVBD_3420c","rimI"
"RVBD_3421c","-"
"RVBD_3422c","-"
"RVBD_3423c","alr"
"RVBD_3424c","-"
"RVBD_3425","PPE57"
"RVBD_3425Ac","?"
"RVBD_3426","PPE58"
"RVBD_3426A","?"
"RVBD_3427c","-"
"RVBD_3428c","-"
"RVBD_3429","PPE59"
"RVBD_3430c","-"
"RVBD_3430Dc","?"
"RVBD_3431c","-"
"RVBD_3432c","gadB"
"RVBD_3433c","-"
"RVBD_3434c","-"
"RVBD_3435c","-"
"RVBD_3436c","glmS"
"RVBD_3437","-"
"RVBD_3438","-"
"RVBD_3439c","-"
"RVBD_3440c","-"
"RVBD_3441c","mrsA"
"RVBD_3442c","rpsI"
"RVBD_3443c","rplM"
"RVBD_3444c","esxT"
"RVBD_3445c","esxU"
"RVBD_3446c","-"
"RVBD_3447c","eccC4"
"RVBD_3448","eccD4"
"RVBD_3449","mycP4"
"RVBD_3450c","eccB4"
"RVBD_3451","cut3"
"RVBD_3452","cut4"
"RVBD_3453","-"
"RVBD_3454","-"
"RVBD_3455c","truA"
"RVBD_3456c","rplQ"
"RVBD_3457c","rpoA"
"RVBD_3458c","rpsD"
"RVBD_3459c","rpsK"
"RVBD_3460c","rpsM"
"RVBD_3461c","rpmJ"
"RVBD_3462c","infA"
"RVBD_3463","-"
"RVBD_3464","rmlB"
"RVBD_3465","rmlC"
"RVBD_3466","-"
"RVBD_3467","-"
"RVBD_3468c","-"
"RVBD_3469c","mhpE"
"RVBD_3470c","ilvB2"
"RVBD_3471c","-"
"RVBD_3472","-"
"RVBD_3473c","bpoA"
"RVBD_3474","-"
"RVBD_3475","-"
"RVBD_3476c","kgtP"
"RVBD_3477","PE31"
"RVBD_3478","PPE60"
"RVBD_3479","-"
"RVBD_3480c","-"
"RVBD_3481c","-"
"RVBD_3482c","-"
"RVBD_3483c","-"
"RVBD_3484","cpsA"
"RVBD_3485c","-"
"RVBD_3486","-"
"RVBD_3487c","lipF"
"RVBD_3488","-"
"RVBD_3489","-"
"RVBD_3490","otsA"
"RVBD_3491","-"
"RVBD_3492c","-"
"RVBD_3493c","-"
"RVBD_3494c","mce4F"
"RVBD_3495c","lprN"
"RVBD_3496c","mce4D"
"RVBD_3497c","mce4C"
"RVBD_3498c","mce4B"
"RVBD_3499c","mce4A"
"RVBD_3500c","yrbE4B"
"RVBD_3501c","yrbE4A"
"RVBD_3502c","-"
"RVBD_3503c","fdxD"
"RVBD_3504","fadE26"
"RVBD_3505","fadE27"
"RVBD_3506","fadD17"
"RVBD_3507","PE_PGRS53"
"RVBD_3508","PE_PGRS54"
"RVBD_3509c","ilvX"
"RVBD_3510c","-"
"RVBD_3511","PE_PGRS55"
"RVBD_3513c","fadD18"
"RVBD_3514","PE_PGRS57"
"RVBD_3515c","fadD19"
"RVBD_3516","echA19"
"RVBD_3517","-"
"RVBD_3518c","cyp142"
"RVBD_3519","-"
"RVBD_3520c","-"
"RVBD_3521","-"
"RVBD_3522","ltp4"
"RVBD_3523","ltp3"
"RVBD_3524","-"
"RVBD_3525c","-"
"RVBD_3526","kshA"
"RVBD_3527","-"
"RVBD_3528c","-"
"RVBD_3528A","?"
"RVBD_3529c","-"
"RVBD_3530c","-"
"RVBD_3531c","-"
"RVBD_3532","PPE61"
"RVBD_3533c","PPE62"
"RVBD_3534c","hsaF"
"RVBD_3535c","hsaG"
"RVBD_3536c","hsaE"
"RVBD_3537","kstD"
"RVBD_3538","-"
"RVBD_3539","PPE63"
"RVBD_3540c","ltp2"
"RVBD_3541c","-"
"RVBD_3542c","-"
"RVBD_3543c","fadE29"
"RVBD_3544c","fadE28"
"RVBD_3545c","cyp125"
"RVBD_3546","fadA5"
"RVBD_3547","ddn"
"RVBD_3548c","-"
"RVBD_3549c","-"
"RVBD_3550","echA20"
"RVBD_3551","-"
"RVBD_3552","-"
"RVBD_3553","-"
"RVBD_3554","fdxB"
"RVBD_3555c","-"
"RVBD_3556c","fadA6"
"RVBD_3557c","-"
"RVBD_3558","PPE64"
"RVBD_3559c","-"
"RVBD_3560c","fadE30"
"RVBD_3561","fadD3"
"RVBD_3562","fadE31"
"RVBD_3563","fadE32"
"RVBD_3564","fadE33"
"RVBD_3565","aspB"
"RVBD_3566c","nat"
"RVBD_3566A","-"
"RVBD_3567c","hsaB"
"RVBD_3568c","hsaC"
"RVBD_3569c","hsaD"
"RVBD_3570c","hsaA"
"RVBD_3571","kshB"
"RVBD_3572","-"
"RVBD_3573c","fadE34"
"RVBD_3574","kstR"
"RVBD_3575c","-"
"RVBD_3576","lppH"
"RVBD_3577","-"
"RVBD_3578","arsB2"
"RVBD_3579c","-"
"RVBD_3580c","cysS1"
"RVBD_3581c","ispF"
"RVBD_3582c","ispD"
"RVBD_3583c","-"
"RVBD_3584","lpqE"
"RVBD_3585","radA"
"RVBD_3586","-"
"RVBD_3587c","-"
"RVBD_3588c","canB"
"RVBD_3589","mutY"
"RVBD_3590c","PE_PGRS58"
"RVBD_3591c","-"
"RVBD_3592","mhuD"
"RVBD_3593","lpqF"
"RVBD_3594","-"
"RVBD_3595c","PE_PGRS59"
"RVBD_3596c","clpC1"
"RVBD_3597c","lsr2"
"RVBD_3598c","lysS"
"RVBD_3600c","-"
"RVBD_3601c","panD"
"RVBD_3602c","panC"
"RVBD_3603c","-"
"RVBD_3604c","-"
"RVBD_3605c","-"
"RVBD_3606c","folK"
"RVBD_3607c","folB"
"RVBD_3608c","folP1"
"RVBD_3609c","folE"
"RVBD_3610c","ftsH"
"RVBD_3611","-"
"RVBD_3612c","-"
"RVBD_3613c","-"
"RVBD_3614c","espD"
"RVBD_3615c","espC"
"RVBD_3616c","espA"
"RVBD_3617","ephA"
"RVBD_3618","-"
"RVBD_3619c","esxV"
"RVBD_3620c","esxW"
"RVBD_3621c","PPE65"
"RVBD_3622c","PE32"
"RVBD_3623","lpqG"
"RVBD_3624c","hpt"
"RVBD_3625c","mesJ"
"RVBD_3626c","-"
"RVBD_3627c","-"
"RVBD_3628","ppa"
"RVBD_3629c","-"
"RVBD_3630","-"
"RVBD_3631","-"
"RVBD_3632","-"
"RVBD_3633","-"
"RVBD_3634c","galE1"
"RVBD_3635","-"
"RVBD_3638","-"
"RVBD_3639c","-"
"RVBD_3640c","-"
"RVBD_3641c","fic"
"RVBD_3642c","-"
"RVBD_3643","-"
"RVBD_3644c","-"
"RVBD_3645","-"
"RVBD_3646c","topA"
"RVBD_3647c","-"
"RVBD_3648c","cspA"
"RVBD_3649","-"
"RVBD_3650","PE33"
"RVBD_3651","-"
"RVBD_3653","PE_PGRS61"
"RVBD_3654c","-"
"RVBD_3655c","-"
"RVBD_3656c","-"
"RVBD_3657c","-"
"RVBD_3658c","-"
"RVBD_3659c","-"
"RVBD_3660c","-"
"RVBD_3661","-"
"RVBD_3662c","-"
"RVBD_3663c","dppD"
"RVBD_3664c","dppC"
"RVBD_3665c","dppB"
"RVBD_3666c","dppA"
"RVBD_3666A","?"
"RVBD_3666B","?"
"RVBD_3667","acs"
"RVBD_3668c","-"
"RVBD_3669","-"
"RVBD_3670","ephE"
"RVBD_3671c","-"
"RVBD_3672c","-"
"RVBD_3673c","-"
"RVBD_3674c","nth"
"RVBD_3675","-"
"RVBD_3676","crp"
"RVBD_3677c","-"
"RVBD_3678c","-"
"RVBD_3678A","-"
"RVBD_3679","-"
"RVBD_3680","-"
"RVBD_3681c","whiB4"
"RVBD_3682","ponA2"
"RVBD_3683","-"
"RVBD_3684","-"
"RVBD_3685c","cyp137"
"RVBD_3686c","-"
"RVBD_3687c","rsfB"
"RVBD_3688c","-"
"RVBD_3689","-"
"RVBD_3690","-"
"RVBD_3691","-"
"RVBD_3692","moxR2"
"RVBD_3693","-"
"RVBD_3694c","-"
"RVBD_3695","-"
"RVBD_3696c","glpK"
"RVBD_3697c","vapC48"
"RVBD_3697Ac","?"
"RVBD_3698","-"
"RVBD_3699","-"
"RVBD_3700c","-"
"RVBD_3701c","-"
"RVBD_3702c","-"
"RVBD_3703c","-"
"RVBD_3704c","gshA"
"RVBD_3705c","-"
"RVBD_3705A","-"
"RVBD_3706c","-"
"RVBD_3706Ac","?"
"RVBD_3707c","-"
"RVBD_3708c","asd"
"RVBD_3709c","ask"
"RVBD_3710","leuA"
"RVBD_3711c","dnaQ"
"RVBD_3712","-"
"RVBD_3713","cobQ2"
"RVBD_3714c","-"
"RVBD_3715c","recR"
"RVBD_3716c","-"
"RVBD_3717","-"
"RVBD_3718c","-"
"RVBD_3719","-"
"RVBD_3720","-"
"RVBD_3721c","dnaZX"
"RVBD_3722c","-"
"RVBD_3723","-"
"RVBD_3724A","cut5a"
"RVBD_3724B","cut5b"
"RVBD_3725","-"
"RVBD_3725Ac","?"
"RVBD_3726","-"
"RVBD_3727","-"
"RVBD_3728","-"
"RVBD_3729","-"
"RVBD_3730c","-"
"RVBD_3731","ligC"
"RVBD_3732","-"
"RVBD_3733c","-"
"RVBD_3734c","tgs2"
"RVBD_3735","-"
"RVBD_3736","-"
"RVBD_3737","-"
"RVBD_3738c","PPE66"
"RVBD_3739c","PPE67"
"RVBD_3740c","-"
"RVBD_3741c","-"
"RVBD_3742c","-"
"RVBD_3743c","ctpJ"
"RVBD_3744","nmtR"
"RVBD_3745c","-"
"RVBD_3746c","PE34"
"RVBD_3747","-"
"RVBD_3748","-"
"RVBD_3749c","-"
"RVBD_3749Ac","?"
"RVBD_3750c","-"
"RVBD_3751","-"
"RVBD_3752c","-"
"RVBD_3753c","-"
"RVBD_3754","tyrA"
"RVBD_3755c","-"
"RVBD_3756c","proZ"
"RVBD_3757c","proW"
"RVBD_3758c","proV"
"RVBD_3759c","proX"
"RVBD_3760","-"
"RVBD_3761c","fadE36"
"RVBD_3762c","-"
"RVBD_3763","lpqH"
"RVBD_3764c","tcrY"
"RVBD_3765c","tcrX"
"RVBD_3766","-"
"RVBD_3767c","-"
"RVBD_3768","-"
"RVBD_3769","-"
"RVBD_3770c","-"
"RVBD_3770A","-"
"RVBD_3770B","-"
"RVBD_3771c","-"
"RVBD_3772","hisC2"
"RVBD_3773c","-"
"RVBD_3774","echA21"
"RVBD_3775","lipE"
"RVBD_3777","-"
"RVBD_3778c","-"
"RVBD_3779","-"
"RVBD_3780","-"
"RVBD_3781","rfbE"
"RVBD_3782","glfT1"
"RVBD_3783","rfbD"
"RVBD_3784","-"
"RVBD_3785","-"
"RVBD_3786c","-"
"RVBD_3787c","-"
"RVBD_3788","-"
"RVBD_3789","-"
"RVBD_3790","dprE1"
"RVBD_3791","dprE2"
"RVBD_3792","aftA"
"RVBD_3793","embC"
"RVBD_3794","embA"
"RVBD_3795","embB"
"RVBD_3796","-"
"RVBD_3797","fadE35"
"RVBD_3798","-"
"RVBD_3799c","accD4"
"RVBD_3800c","pks13"
"RVBD_3801c","fadD32"
"RVBD_3802c","-"
"RVBD_3803c","fbpD"
"RVBD_3804c","fbpA"
"RVBD_3805c","aftB"
"RVBD_3806c","ubiA"
"RVBD_3807c","-"
"RVBD_3808c","glfT2"
"RVBD_3809c","glf"
"RVBD_3810","pirG"
"RVBD_3811","-"
"RVBD_3812","PE_PGRS62"
"RVBD_3813c","-"
"RVBD_3814c","-"
"RVBD_3815c","-"
"RVBD_3816c","-"
"RVBD_3817","-"
"RVBD_3818","-"
"RVBD_3819","-"
"RVBD_3820c","papA2"
"RVBD_3821","-"
"RVBD_3822","-"
"RVBD_3823c","mmpL8"
"RVBD_3824c","papA1"
"RVBD_3825c","pks2"
"RVBD_3826","fadD23"
"RVBD_3827c","-"
"RVBD_3828c","-"
"RVBD_3829c","-"
"RVBD_3830c","-"
"RVBD_3831","-"
"RVBD_3832c","-"
"RVBD_3833","-"
"RVBD_3834c","serS"
"RVBD_3835","-"
"RVBD_3836","-"
"RVBD_3837c","-"
"RVBD_3838c","pheA"
"RVBD_3839","-"
"RVBD_3840","-"
"RVBD_3841","bfrB"
"RVBD_3842c","glpQ1"
"RVBD_3843c","-"
"RVBD_3844","-"
"RVBD_3845","-"
"RVBD_3845Ac","?"
"RVBD_3845Bc","?"
"RVBD_3846","sodA"
"RVBD_3847","-"
"RVBD_3848","-"
"RVBD_3849","espR"
"RVBD_3850","-"
"RVBD_3851","-"
"RVBD_3852","hns"
"RVBD_3853","rraA"
"RVBD_3854c","ethA"
"RVBD_3855","ethR"
"RVBD_3856c","-"
"RVBD_3857c","-"
"RVBD_3857Ac","?"
"RVBD_3858c","gltD"
"RVBD_3859c","gltB"
"RVBD_3860","-"
"RVBD_3861","-"
"RVBD_3862c","whiB6"
"RVBD_3863","-"
"RVBD_3864","espE"
"RVBD_3865","espF"
"RVBD_3866","espG1"
"RVBD_3867","espH"
"RVBD_3868","eccA1"
"RVBD_3869","eccB1"
"RVBD_3870","eccCa1"
"RVBD_3871","eccCb1"
"RVBD_3872","PE35"
"RVBD_3873","PPE68"
"RVBD_3874","esxB"
"RVBD_3875","esxA"
"RVBD_3876","espI"
"RVBD_3877","eccD1"
"RVBD_3878","espJ"
"RVBD_3879c","espK"
"RVBD_3880c","espL"
"RVBD_3881c","espB"
"RVBD_3882c","eccE1"
"RVBD_3883c","mycP1"
"RVBD_3884c","eccA2"
"RVBD_3885c","eccE2"
"RVBD_3886c","mycP2"
"RVBD_3887c","eccD2"
"RVBD_3888c","-"
"RVBD_3889c","espG2"
"RVBD_3890c","esxC"
"RVBD_3891c","esxD"
"RVBD_3892c","PPE69"
"RVBD_3893c","PE36"
"RVBD_3894c","eccC2"
"RVBD_3895c","eccB2"
"RVBD_3896c","-"
"RVBD_3897c","-"
"RVBD_3898c","-"
"RVBD_3899c","-"
"RVBD_3900c","-"
"RVBD_3901c","-"
"RVBD_3901A","?"
"RVBD_3902c","-"
"RVBD_3903c","-"
"RVBD_3904c","esxE"
"RVBD_3905c","esxF"
"RVBD_3906c","-"
"RVBD_3907c","pcnA"
"RVBD_3908","mutT4"
"RVBD_3909","-"
"RVBD_3910","-"
"RVBD_3911","sigM"
"RVBD_3912","-"
"RVBD_3913","trxB2"
"RVBD_3914","trxC"
"RVBD_3915","-"
"RVBD_3916c","-"
"RVBD_3917c","parB"
"RVBD_3918c","parA"
"RVBD_3919c","gid"
"RVBD_3920c","-"
"RVBD_3921c","-"
"RVBD_3922c","-"
"RVBD_3923c","rnpA"
"RVBD_3924c","rpmH"
